Player,Shot,Point,Game,Set,bounce_x_std,bounce_y_std,hit_x_std,hit_y_std,hit_z,Speed (MPH),Type,Stroke,Spin,Bounce Depth,Bounce Zone,Hit Zone,Result,Winner,Hit Depth,Direction,Hit Side,Bounce (x),Bounce (y),Hit (x),Hit (y)
Adi Bitton,1,13,3,1,3.127055,6.270858,1.299805,0.037253,2.431641,65.057846,second_serve,Serve,Flat,short,deuce,deuce,In,Opponent,deep,out wide,near,-3.127055,17.499142,1.299805,0.037253
Opponent,2,13,3,1,3.849967,5.036802,5.433594,-0.376288,1.166016,53.722435,second_return,Forehand,Flat,deep,deuce,deuce_alley,In,Adi Bitton,deep,down the line,far,3.849967,5.036802,-5.433594,24.146288
Adi Bitton,1,14,3,1,-1.73335,6.92365,-0.648438,-0.243997,2.267578,78.777512,first_serve,Serve,Kick,short,ad,ad,In,Adi Bitton,deep,down the T,near,1.73335,16.84635,-0.648438,-0.243997
Opponent,2,14,3,1,0.493408,13.359375,-1.762695,-0.563788,1.222656,60.831909,first_return,Forehand,Flat,short,ad,ad,Net,Adi Bitton,deep,inside out,far,0.493408,13.359375,1.762695,24.333788
Adi Bitton,1,15,3,1,0.988685,6.607379,1.390625,0.302878,2.490234,72.774506,first_serve,Serve,Flat,short,deuce,deuce,In,Adi Bitton,deep,down the T,near,-0.988685,17.162621,1.390625,0.302878
Opponent,2,15,3,1,-2.178551,6.896399,2.580078,0.529962,1.231445,49.380138,first_return,Backhand,Topspin,short,ad,deuce,In,Adi Bitton,deep,inside in,far,-2.178551,6.896399,-2.580078,23.240038
Adi Bitton,3,15,3,1,-4.100001,4.61807,-1.386719,-1.150247,0.695801,54.197895,serve_plus_one,Backhand,Flat,deep,ad,ad,In,Adi Bitton,out,cross court,near,4.100001,19.15193,-1.386719,-1.150247
Adi Bitton,1,16,3,1,-1.886682,6.02733,-0.624023,-0.423684,2.228516,78.195862,first_serve,Serve,Kick,short,ad,ad,In,Adi Bitton,deep,down the T,near,1.886682,17.74267,-0.624023,-0.423684
Opponent,2,16,3,1,0.671141,4.808442,-1.541016,-1.657538,1.521484,47.215847,first_return,Forehand,Flat,deep,deuce,ad,In,Adi Bitton,out,inside in,far,0.671141,4.808442,1.541016,25.427538
Adi Bitton,3,16,3,1,2.086861,3.096347,-0.033844,0.412253,1.580078,66.578171,serve_plus_one,Forehand,Topspin,deep,deuce,ad,In,Adi Bitton,deep,inside in,near,-2.086861,20.673653,-0.033844,0.412253
Opponent,4,16,3,1,-1.034497,3.691004,3.066406,-1.157538,0.890137,54.081554,return_plus_one,Forehand,Flat,deep,ad,deuce,In,Adi Bitton,deep,down the line,far,-1.034497,3.691004,-3.066406,24.927538
Adi Bitton,5,16,3,1,1.149414,6.395803,-0.912109,-0.868997,1.042969,51.690655,in_play,Forehand,Slice,short,deuce,ad,In,Adi Bitton,out,inside in,near,-1.149414,17.374197,-0.912109,-0.868997
Opponent,6,16,3,1,1.345042,3.546726,1.206055,0.404962,0.509277,33.362835,in_play,Forehand,Slice,deep,deuce,deuce,In,Adi Bitton,deep,cross court,far,1.345042,3.546726,-1.206055,23.365038
Adi Bitton,7,16,3,1,2.054433,5.484476,1.03418,0.388816,1.472656,72.916733,in_play,Forehand,Topspin,short,deuce,deuce,In,Adi Bitton,deep,cross court,near,-2.054433,18.285524,1.03418,0.388816
Adi Bitton,1,17,3,1,3.116248,3.192407,1.630859,0.318503,2.367188,67.910728,first_serve,Serve,Flat,deep,deuce,deuce,Out,Adi Bitton,deep,out wide,near,-3.116248,20.577593,1.630859,0.318503
Adi Bitton,1,17,3,1,3.196145,5.644897,1.44043,0.138816,2.644531,60.629128,second_serve,Serve,Slice,short,deuce,deuce,In,Adi Bitton,deep,out wide,near,-3.196145,18.125103,1.44043,0.138816
Opponent,2,17,3,1,4.052374,4.964595,5.15625,0.264337,1.175781,47.435974,second_return,Forehand,Flat,deep,deuce,deuce_alley,In,Adi Bitton,deep,down the line,far,4.052374,4.964595,-5.15625,23.505663
Adi Bitton,3,17,3,1,-0.175684,8.197183,4.140625,1.966941,1.697266,26.035257,serve_plus_one,Forehand,Slice,short,ad,deuce_alley,In,Adi Bitton,deep,down the line,near,0.175684,15.572817,4.140625,1.966941
Opponent,1,18,4,1,0.570448,5.821996,0.678711,0.042796,2.25,72.353104,first_serve,Serve,Kick,short,deuce,deuce,In,Adi Bitton,deep,down the T,near,-0.570448,17.948004,0.678711,0.042796
Adi Bitton,2,18,4,1,-1.263275,2.463887,1.018555,-0.032538,1.510742,49.529724,first_return,Backhand,Topspin,deep,ad,deuce,In,Adi Bitton,deep,inside in,far,-1.263275,2.463887,-1.018555,23.802538
Opponent,3,18,4,1,1.986812,2.689968,-1.237305,-1.564309,1.162109,56.158119,serve_plus_one,Backhand,Topspin,deep,deuce,ad,In,Adi Bitton,out,down the line,near,-1.986812,21.080032,-1.237305,-1.564309
Adi Bitton,4,18,4,1,-0.603597,5.614935,2.371094,-0.485663,1.357422,43.068882,return_plus_one,Forehand,Topspin,short,ad,deuce,In,Adi Bitton,deep,down the line,far,-0.603597,5.614935,-2.371094,24.255663
Opponent,5,18,4,1,-4.106701,0.012523,-0.264404,-2.03306,1.111328,50.158401,in_play,Backhand,Topspin,deep,ad,ad,In,Adi Bitton,out,cross court,near,4.106701,23.757477,-0.264404,-2.03306
Adi Bitton,6,18,4,1,-0.852569,5.069304,-3.792969,-2.329413,2.345703,31.683348,in_play,Backhand,Flat,deep,ad,ad,In,Adi Bitton,out,cross court,far,-0.852569,5.069304,3.792969,26.099413
Opponent,7,18,4,1,-0.349121,17.116106,-1.296875,2.006003,1.740234,30.419415,in_play,Backhand,Flat,short,deuce,ad,Net,Opponent,deep,down the line,near,0.349121,6.653894,-1.296875,2.006003
Opponent,1,19,4,1,-4.097569,5.555303,-1.494141,0.459128,2.238281,63.69463,first_serve,Serve,Slice,short,ad,ad,In,Opponent,deep,out wide,near,4.097569,18.214697,-1.494141,0.459128
Adi Bitton,2,19,4,1,-4.772608,1.191837,-5.101562,0.498712,1.609375,49.02507,first_return,Backhand,Flat,deep,ad_alley,ad_alley,Out,Adi Bitton,deep,cross court,far,-4.772608,1.191837,5.101562,23.271288
Opponent,1,20,4,1,1.913412,6.300888,0.932129,0.263816,2.505859,85.306801,first_serve,Serve,Flat,short,deuce,deuce,In,Adi Bitton,deep,down the T,near,-1.913412,17.469112,0.932129,0.263816
Adi Bitton,2,20,4,1,0.282424,1.014859,2.423828,0.295587,1.523438,42.44025,first_return,Backhand,Topspin,deep,deuce,deuce,In,Adi Bitton,deep,inside out,far,0.282424,1.014859,-2.423828,23.474413
Opponent,3,20,4,1,-0.768805,3.54347,0.583496,-1.814309,1.495117,48.441242,serve_plus_one,Backhand,Topspin,deep,ad,deuce,In,Adi Bitton,out,inside in,near,0.768805,20.22653,0.583496,-1.814309
Adi Bitton,4,20,4,1,-3.089246,1.861091,-0.604004,-1.548163,1.279297,48.339222,return_plus_one,Backhand,Topspin,deep,ad,ad,In,Adi Bitton,out,cross court,far,-3.089246,1.861091,0.604004,25.318163
Opponent,5,20,4,1,-2.037622,1.597148,-3.447266,-1.431497,1.814453,46.994499,in_play,Backhand,Topspin,deep,ad,ad,In,Adi Bitton,out,cross court,near,2.037622,22.172852,-3.447266,-1.431497
Adi Bitton,6,20,4,1,2.433223,7.080361,-2.814453,-1.438788,1.894531,32.42429,in_play,Backhand,Topspin,short,deuce,ad,In,Adi Bitton,out,down the line,far,2.433223,7.080361,2.814453,25.208788
Opponent,7,20,4,1,3.377289,-2.234377,1.515625,-0.673684,1.875,60.49374,in_play,Forehand,Flat,out,deuce,deuce,Out,Opponent,out,cross court,near,-3.377289,26.004377,1.515625,-0.673684
Opponent,1,21,4,1,0.525391,17.941788,-1.574219,-0.001809,2.259766,42.41209,first_serve,Serve,Slice,short,ad,ad,Net,Opponent,deep,down the T,near,-0.525391,5.828212,-1.574219,-0.001809
Opponent,1,21,4,1,-2.034534,5.964017,-1.298828,-0.197122,2.279297,59.801994,second_serve,Serve,Slice,short,ad,ad,In,Opponent,deep,down the T,near,2.034534,17.805983,-1.298828,-0.197122
Adi Bitton,2,21,4,1,2.174076,0.484231,-3.158203,0.717462,1.438477,54.982765,second_return,Forehand,Topspin,deep,deuce,ad,In,Opponent,deep,inside in,far,2.174076,0.484231,3.158203,23.052538
Opponent,3,21,4,1,0.558105,5.816875,2.189453,-2.47056,1.143555,34.955444,serve_plus_one,Forehand,Slice,short,deuce,deuce,In,Opponent,out,cross court,near,-0.558105,17.953125,2.189453,-2.47056
Adi Bitton,4,21,4,1,-0.945801,12.507812,0.558105,4.608087,2.144531,19.052607,return_plus_one,Volley,Flat,short,deuce,deuce,Net,Adi Bitton,short,cross court,far,-0.945801,12.507812,-0.558105,19.161913
Opponent,1,22,4,1,3.063662,7.385614,0.364258,1.349753,2.128906,75.507011,first_serve,Serve,Flat,short,deuce,deuce,In,Adi Bitton,deep,out wide,near,-3.063662,16.384386,0.364258,1.349753
Adi Bitton,2,22,4,1,-3.135454,5.999501,4.589844,-0.751288,1.219727,44.898979,first_return,Forehand,Flat,short,ad,deuce_alley,In,Adi Bitton,deep,down the line,far,-3.135454,5.999501,-4.589844,24.521288
Opponent,3,22,4,1,-1.097429,8.371998,-2.550781,-0.634622,0.770996,47.854847,serve_plus_one,Backhand,Topspin,short,ad,ad,In,Adi Bitton,out,cross court,near,1.097429,15.398002,-2.550781,-0.634622
Adi Bitton,4,22,4,1,1.529939,4.932355,-2.4375,0.061212,0.765625,37.402916,return_plus_one,Backhand,Slice,deep,deuce,ad,In,Adi Bitton,deep,down the line,far,1.529939,4.932355,2.4375,23.708788
Opponent,5,22,4,1,-2.484375,6.52,1.296875,0.498191,0.533203,39.100819,in_play,Forehand,Slice,short,ad,deuce,In,Adi Bitton,deep,down the line,near,2.484375,17.25,1.296875,0.498191
Adi Bitton,6,22,4,1,0.899946,7.103496,-2.6875,0.779962,0.513184,30.179604,in_play,Backhand,Slice,short,deuce,ad,In,Adi Bitton,deep,down the line,far,0.899946,7.103496,2.6875,22.990038
Opponent,7,22,4,1,2.070312,18.121374,0.395996,5.18569,0.42749,21.92812,in_play,Backhand,Slice,short,ad,deuce,Net,Adi Bitton,short,inside in,near,-2.070312,5.648626,0.395996,5.18569
Opponent,1,23,4,1,-3.154411,7.80511,-1.554688,-0.314309,2.396484,68.37252,first_serve,Serve,Slice,short,ad,ad,In,Adi Bitton,deep,out wide,near,3.154411,15.96489,-1.554688,-0.314309
Adi Bitton,2,23,4,1,-1.461307,7.390355,-4.726562,0.154962,1.200195,51.274639,first_return,Backhand,Flat,short,ad,ad_alley,In,Adi Bitton,deep,down the line,far,-1.461307,7.390355,4.726562,23.615038
Opponent,3,23,4,1,2.958984,17.927636,-3.714844,-0.353372,0.668457,36.623661,serve_plus_one,Backhand,Topspin,short,ad,ad,Net,Opponent,deep,cross court,near,-2.958984,5.842364,-3.714844,-0.353372
Adi Bitton,1,24,5,1,2.954247,6.795357,1.520508,-0.016913,2.345703,62.408936,first_serve,Serve,Kick,short,deuce,deuce,In,Opponent,deep,out wide,far,2.954247,6.795357,-1.520508,23.786913
