Player,Shot,Point,Game,Set,Type,Stroke,Spin,Result,Winner,Bounce Depth,Bounce Zone,Bounce Side,Hit Depth,Hit Zone,Direction,Speed (MPH),Hit Side,Bounce (x),Bounce (y),bounce_x_std,bounce_y_std,Hit (x),Hit (y),Hit (z),hit_x_std,hit_y_std
Opponent,1,72,13,2,first_serve,Serve,Flat,Net,Nikol Mircheva,short,deuce,near,deep,ad,out wide,42.388023,near,2.869141,11.875,-2.869141,11.895,-0.452881,0.120259,2.259766,0.120259,0.120259
Opponent,1,72,13,2,second_serve,Serve,Slice,In,Nikol Mircheva,short,ad,far,deep,ad,down the T,58.715843,near,2.258863,18.261843,-2.258863,5.508157,-0.786133,0.576316,2.441406,0.576316,0.576316
Nikol Mircheva,3,72,13,2,second_return,Forehand,Slice,In,Nikol Mircheva,deep,deuce,near,deep,ad,inside in,41.46402,far,0.965332,2.382812,0.965332,2.382812,2.248047,24.083788,1.243164,-2.248047,-0.313788
Opponent,4,72,13,2,serve_plus_one,Forehand,Topspin,Net,Nikol Mircheva,short,deuce,near,out,deuce,cross court,33.821224,near,3.048828,5.709128,-3.048828,18.060872,1.085938,-0.564309,0.993652,-0.564309,-0.564309
Opponent,1,73,13,2,first_serve,Serve,Flat,Net,Nikol Mircheva,short,ad,near,deep,deuce,down the T,42.728188,near,-0.453857,11.828125,0.453857,11.941875,0.841309,0.263816,2.470703,0.263816,0.263816
Opponent,1,73,13,2,second_serve,Serve,Slice,In,Nikol Mircheva,short,deuce,far,deep,deuce,down the T,67.244034,near,-1.988394,17.349813,1.988394,6.420187,2.050781,0.157453,2.53125,0.157453,0.157453
Nikol Mircheva,3,73,13,2,second_return,Forehand,Flat,In,Nikol Mircheva,short,ad,near,deep,deuce,down the line,54.544319,far,-0.614319,6.691893,-0.614319,6.691893,-3.384766,23.349413,1.199219,3.384766,0.420587
Opponent,4,73,13,2,serve_plus_one,Backhand,Slice,In,Nikol Mircheva,short,deuce,far,deep,ad,down the line,35.463135,near,-1.290039,14.179688,1.290039,9.590312,-0.189331,1.310691,0.395264,1.310691,1.310691
Nikol Mircheva,5,73,13,2,return_plus_one,Volley,Flat,In,Nikol Mircheva,deep,ad,near,short,deuce,down the line,20.784662,far,-3.073357,5.078888,-3.073357,5.078888,-1.290039,15.388475,1.082031,1.290039,8.381525
Opponent,1,74,13,2,first_serve,Serve,Flat,Out,Nikol Mircheva,deep,ad,far,deep,ad,down the T,82.765617,near,0.530737,19.37772,-0.530737,4.39228,-0.131592,0.004453,2.386719,0.004453,0.004453
